prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,diff,Deal
3197000, 2005 48th St NW Washington DC 20007 ,6,6,8050,31.97,8.05,6285348.511,3088348.511,Good Deal
1100000, 5721 Potomac Ave NW Washington DC 20016 ,5,6,4922,11,4.922,3735557.938,2635557.938,Good Deal
3825000, 4606 Kenmore Dr NW Washington DC 20007 ,5,7,7600,38.25,7.6,6406278.992,2581278.992,Good Deal
5900000, 2230 Massachusetts Ave NW Washington DC 20008 ,5,8,9625,59,9.625,8476560.974,2576560.974,Good Deal
549000, 5135 F St SE Washington DC 20019 ,5,5,3900,5.49,3.9,2587542.534,2038542.534,Good Deal
1895000, 5198 27th St NW Washington DC 20008 ,4,4,5205,18.95,5.205,3905651.855,2010651.855,Good Deal
7995000, 3101 Chain Bridge Rd NW Washington DC 20016 ,7,11,11000,79.95,11,9712859.344,1717859.344,Good Deal
254900, 5220 N Capitol St NW #109 Washington DC 20011 ,6,5,3513,2.549,3.513,1905262.566,1650362.566,Good Deal
9495000, 4400 Garfield St NW Washington DC 20007 ,8,11,12817,94.95,12.817,11057175.45,1562175.446,Good Deal
6300000, 2100 Dunmore Ln NW Washington DC 20007 ,5,7,9100,63,9.1,7785541.534,1485541.534,Good Deal
765000, 31 Rock Creek Church Rd NW Washington DC 20011 ,4,5,3155,7.65,3.155,2228939.629,1463939.629,Good Deal
1250000, 5424 Macarthur Blvd NW Washington DC 20016 ,4,5,3648,12.5,3.648,2682256.889,1432256.889,Good Deal
570000, 4328 Alabama Ave SE Washington DC 20019 ,5,4,3438,5.7,3.438,1954451.18,1384451.18,Good Deal
1050000, 4712 Yuma St NW Washington DC 20016 ,6,6,3728,10.5,3.728,2311235.428,1261235.428,Good Deal
695000, 4108 Hayes St NE Washington DC 20019 ,6,5,3513,6.95,3.513,1905262.566,1210262.566,Good Deal
499000, 5521 Jay St NE Washington DC 20019 ,3,3,2562,4.99,2.562,1593544.579,1094544.579,Good Deal
3900000, 4537 Lowell St NW Washington DC 20016 ,6,7,6400,39,6.4,4976438.904,1076438.904,Good Deal
349000, 517 Lebaum St SE Washington DC 20032 ,3,2,2550,3.49,2.55,1374231.72,1025231.72,Good Deal
589000, 834 48th St NE Washington DC 20019 ,4,4,2700,5.89,2.7,1602284.813,1013284.813,Good Deal
975000, 3722 30th Pl NE Washington DC 20018 ,5,4,3369,9.75,3.369,1891005.135,916005.1346,Good Deal
5850000, 3010 University Ter NW Washington DC 20016 ,6,8,7975,58.5,7.975,6632942.2,782942.1997,Good Deal
569000, 2524 W St SE Washington DC 20020 ,4,4,2400,5.69,2.4,1326432.228,757432.2281,Good Deal
1995000, 4714 Chesapeake St NW Washington DC 20016 ,5,5,4020,19.95,4.02,2697883.415,702883.4152,Good Deal
649000, 2801 New Mexico Ave NW APT 911 Washington DC 20007 ,2,3,1877,6.49,1.877,1290111.923,641111.9232,Good Deal
400000, 1146 Barnaby Ter SE Washington DC 20032 ,3,3,1944,4,1.944,1025288.391,625288.3911,Good Deal
1325000, 3544 Winfield Ln NW Washington DC 20007 ,3,4,2622,13.25,2.622,1856993.675,531993.6752,Good Deal
256183, 410 Eastern Ave NE Washington DC 20019 ,3,3,1683,2.56183,1.683,785296.8693,529113.8693,Good Deal
385000, 2724 Stanton Rd SE Washington DC 20020 ,2,3,1462,3.85,1.462,908516.1209,523516.1209,Good Deal
724900, 3129 Newton St NE Washington DC 20018 ,4,5,2073,7.249,2.073,1234031.868,509131.868,Good Deal
699900, 3626 Alabama Ave SE Washington DC 20020 ,3,3,2142,6.999,2.142,1207351.112,507451.1124,Good Deal
1499000, 609 Maryland Ave NE UNIT 5 Washington DC 20002 ,2,3,2634,14.99,2.634,1986179.543,487179.5425,Good Deal
315000, 1818 Minnesota Ave SE Washington DC 20020 ,4,2,2272,3.15,2.272,792178.1063,477178.1063,Good Deal
560000, 6609 3rd St NW Washington DC 20012 ,3,2,2178,5.6,2.178,1032174.873,472174.8734,Good Deal
800000, 618 R St NW Washington DC 20001 ,3,2,2422,8,2.422,1256534.767,456534.7672,Good Deal
435000, 1225 Savannah Pl SE Washington DC 20032 ,2,3,1440,4.35,1.44,888286.972,453286.972,Good Deal
695000, 48 New York Ave NW #B Washington DC 20001 ,3,3,2066,6.95,2.066,1137468.338,442468.338,Good Deal
1249000, 3030 K St NW APT 210 Washington DC 20007 ,2,2,2528,12.49,2.528,1680433.083,431433.0826,Good Deal
865000, 904 Emerson St NW Washington DC 20011 ,4,4,2366,8.65,2.366,1295168.877,430168.8766,Good Deal
1575000, 3608 Reservoir Rd NW Washington DC 20007 ,5,5,3266,15.75,3.266,2004574.394,429574.3942,Good Deal
464000, 1661 Gales St NE #1 Washington DC 20002 ,2,3,1440,4.64,1.44,888286.972,424286.972,Good Deal
450000, 855 Hr Dr SE Washington DC 20032 ,3,4,1530,4.5,1.53,852890.7776,402890.7776,Good Deal
410000, 3526 19th St SE Washington DC 20020 ,3,3,1708,4.1,1.708,808284.5688,398284.5688,Good Deal
350000, 4551 Eads Pl NE Washington DC 20019 ,2,2,1500,3.5,1.5,735178.709,385178.709,Good Deal
739900, 1226 Rhode Island Ave NE Washington DC 20018 ,3,3,2034,7.399,2.034,1108044.052,368144.0521,Good Deal
425000, 2514 Palmer Pl SE Washington DC 20020 ,4,2,2272,4.25,2.272,792178.1063,367178.1063,Good Deal
409000, 1224 Savannah Pl SE Washington DC 20032 ,3,2,1898,4.09,1.898,774712.5149,365712.5149,Good Deal
459500, 1109 Wahler Pl SE Washington DC 20032 ,4,3,2068,4.595,2.068,812877.0828,353377.0828,Good Deal
439900, 1268 Barnaby Ter SE Washington DC 20032 ,4,3,2046,4.399,2.046,792647.7909,352747.7909,Good Deal
1050000, 1607 New Jersey Ave NW Washington DC 20001 ,4,4,2482,10.5,2.482,1401832.008,351832.0084,Good Deal
449100, 3963 Martin Luther King Jr Ave SW Washington DC 20032 ,3,2,1922,4.491,1.922,796780.7293,347680.7293,Good Deal
6100000, 3327 N St NW Washington DC 20007 ,5,9,7175,61,7.175,6432045.746,332045.7458,Good Deal
1195000, 328 13th St SE Washington DC 20003 ,3,4,2256,11.95,2.256,1520453.835,325453.8345,Good Deal
565000, 1656 Kramer St NE Washington DC 20002 ,2,3,1440,5.65,1.44,888286.972,323286.972,Good Deal
699900, 2603 24th St NE Washington DC 20018 ,3,4,1709,6.999,1.709,1017482.758,317582.7576,Good Deal
360000, 3600 39th St NW APT B548 Washington DC 20016 ,1,2,1076,3.6,1.076,671737.8139,311737.8139,Good Deal
435000, 4258 Martin Luther King Jr Ave SW Washington DC 20032 ,3,4,1412,4.35,1.412,744388.8187,309388.8187,Good Deal
579000, 4717 6th St NE Washington DC 20017 ,3,3,1793,5.79,1.793,886442.7567,307442.7567,Good Deal
1050000, 2225 38th St NW Washington DC 20007 ,3,4,2062,10.5,2.062,1342069.054,292069.0536,Good Deal
2550000, 2607 31st St NW Washington DC 20008 ,5,5,4167,25.5,4.167,2833050.728,283050.7278,Good Deal
699000, 3224 O St SE Washington DC 20020 ,4,3,2244,6.99,2.244,974710.2737,275710.2737,Good Deal
1375000, 4120 17th St NW Washington DC 20011 ,4,3,2975,13.75,2.975,1646870.613,271870.6131,Good Deal
1690000, 3235 P St NW Washington DC 20007 ,1,2,2470,16.9,2.47,1953532.028,263532.0282,Good Deal
995000, 4535 43rd Pl NW Washington DC 20016 ,3,2,2420,9.95,2.42,1254695.892,259695.8923,Good Deal
295000, 1715 28th Pl SE #A Washington DC 20020 ,2,2,1300,2.95,1.3,551277.113,256277.113,Good Deal
520000, 917 43rd Pl NE Washington DC 20019 ,3,3,1660,5.2,1.66,764148.1876,244148.1876,Good Deal
149950, 22 Galveston Pl SW APT C Washington DC 20032 ,2,2,1120,1.4995,1.12,385765.7433,235815.7433,Good Deal
385000, 234 56th St NE Washington DC 20019 ,3,3,1500,3.85,1.5,617026.9489,232026.9489,Good Deal
350000, 4027 Ely Pl SE #4029 Washington DC 20019 ,2,2,1322,3.5,1.322,571506.4526,221506.4526,Good Deal
899900, 6509 Piney Branch Rd NW Washington DC 20012 ,4,4,2176,8.999,2.176,1120462.608,220562.6083,Good Deal
530000, 18 O St NW APT A Washington DC 20001 ,3,4,1412,5.3,1.412,744388.8187,214388.8187,Good Deal
309000, 1200 23rd St NW #803 Washington DC 20037 ,1,2,900,3.09,0.9,509904.4323,200904.4323,Good Deal
484000, 925 Division Ave NE Washington DC 20019 ,5,4,2052,4.84,2.052,680012.9414,196012.9414,Good Deal
775000, 1543 6th St NW APT 100 Washington DC 20001 ,2,2,1744,7.75,1.744,959538.6505,184538.6505,Good Deal
810000, 1446 W St SE Washington DC 20020 ,4,4,2039,8.1,2.039,994489.8605,184489.8605,Good Deal
309000, 1200 23rd St NW APT 802 Washington DC 20037 ,1,2,875,3.09,0.875,486916.6851,177916.6851,Good Deal
620000, 4921 12th St NE Washington DC 20017 ,4,3,2046,6.2,2.046,792647.7909,172647.7909,Good Deal
1950000, 2130 Bancroft Pl NW Washington DC 20008 ,2,3,2775,19.5,2.775,2115830.231,165830.2307,Good Deal
799000, 3603 New Hampshire Ave NW Washington DC 20010 ,3,2,2100,7.99,2.1,960453.2242,161453.2242,Good Deal
925000, 6223 Piney Branch Rd NW Washington DC 20011 ,5,4,2493,9.25,2.493,1085515.976,160515.976,Good Deal
399500, 3315 Wisconsin Ave NW #B3 Washington DC 20016 ,2,2,1300,3.995,1.3,551277.113,151777.113,Good Deal
469900, 1883 Tubman Rd SE Washington DC 20020 ,4,3,1860,4.699,1.86,621619.2722,151719.2722,Good Deal
1599900, 801 Independence Ave SE Washington DC 20003 ,6,4,3570,15.999,3.57,1749395.943,149495.9427,Good Deal
699000, 25 T St NE UNIT B Washington DC 20002 ,3,3,1750,6.99,1.75,846903.801,147903.801,Good Deal
3250000, 1826 12th St NW Washington DC 20009 ,4,6,4195,32.5,4.195,3393506.241,143506.2408,Good Deal
479005, 3605 Brothers Pl SE Washington DC 20032 ,3,4,1270,4.79005,1.27,613818.7885,134813.7885,Good Deal
1265000, 2540 Massachusetts Ave NW UNIT 207 Washington DC 20008 ,3,3,2350,12.65,2.35,1398608.589,133608.5892,Good Deal
1150000, 1654 Avon Pl NW Washington DC 20007 ,2,2,2094,11.5,2.094,1281366.539,131366.539,Good Deal
499000, 1229 12th St NW #2 Washington DC 20005 ,2,3,1159,4.99,1.159,629905.1762,130905.1762,Good Deal
749950, 1842 Mintwood Pl NW APT 1 Washington DC 20009 ,2,2,1656,7.4995,1.656,878622.0551,128672.0551,Good Deal
435000, 310 N St SW Washington Navy Yard DC 20024 ,2,1,1537,4.35,1.537,560921.9074,125921.9074,Good Deal
769900, 131 R St NE #A Washington DC 20002 ,3,3,1802,7.699,1.802,894718.3609,124818.3609,Good Deal
799900, 1258 Columbia Rd NW #1 Washington DC 20009 ,3,3,1830,7.999,1.83,920464.5157,120564.5157,Good Deal
649000, 422 Peabody St NW Washington DC 20011 ,3,2,1881,6.49,1.881,759081.0299,110081.0299,Good Deal
520000, 2028 Jasper St SE Washington DC 20020 ,3,3,1500,5.2,1.5,617026.9489,97026.94893,Good Deal
850000, 726 Webster St NW #2 Washington DC 20011 ,3,3,1850,8.5,1.85,938854.7897,88854.78973,Good Deal
6495000, 2829 Woodland Dr NW Washington DC 20008 ,5,7,7787,64.95,7.787,6578227.234,83227.23389,Good Deal
1629000, 3325 Reservoir Rd NW Washington DC 20007 ,3,4,2464,16.29,2.464,1711711.311,82711.31134,Good Deal
648500, 1934 Bennett Pl NE Washington DC 20002 ,4,4,1745,6.485,1.745,724154.52,75654.52003,Good Deal
949900, 4226 40th St NW Washington DC 20016 ,2,3,1579,9.499,1.579,1016098.404,66198.40393,Good Deal
475000, 29 Halley Pl SE Washington DC 20032 ,3,3,1408,4.75,1.408,532432.2224,57432.22237,Good Deal
199900, 208 Farragut St NW APT 206 Washington DC 20011 ,1,1,850,1.999,0.85,255650.3773,55750.37727,Good Deal
475000, 1622 26th Pl SE #1 Washington DC 20020 ,4,3,1750,4.75,1.75,520473.3372,45473.33717,Good Deal
495000, 1624 26th Pl SE #1 Washington DC 20020 ,4,3,1770,4.95,1.77,538863.6112,43863.61122,Good Deal
1390000, 4535 Westhall Dr NW Washington DC 20007 ,3,4,2160,13.9,2.16,1432180.977,42180.97687,Good Deal
382500, 4201 Cathedral Ave NW APT 902W Washington DC 20016 ,2,2,1155,3.825,1.155,417948.4844,35448.48442,Good Deal
700000, 4101 Cathedral Ave NW APT 1217 Washington DC 20016 ,2,2,1500,7,1.5,735178.709,35178.70903,Good Deal
1018000, 5332 43rd St NW Washington DC 20015 ,3,3,1968,10.18,1.968,1047356.606,29356.60553,Good Deal
2149000, 1738 Corcoran St NW Washington DC 20009 ,4,4,3325,21.49,3.325,2176977.348,27977.34833,Good Deal
570000, 2724 12th St NE #7 Washington DC 20018 ,2,3,1120,5.7,1.12,594044.3516,24044.35158,Good Deal
475000, 629 Columbia Rd NW Washington DC 20001 ,4,4,1500,4.75,1.5,498875.0935,23875.09346,Good Deal
390000, 2500 Q St NW APT 435 Washington DC 20007 ,1,1,1014,3.9,1.014,406449.7471,16449.74709,Good Deal
474900, 4800 Eads St NE Washington DC 20019 ,3,2,1577,4.749,1.577,479550.5047,4650.504684,Good Deal
480000, 1105 Wahler Pl SE Washington DC 20032 ,3,2,1577,4.8,1.577,479550.5047,-449.4953156,Bad Deal
799900, 811 E St SE #A Washington DC 20003 ,3,2,1922,7.999,1.922,796780.7293,-3119.270706,Bad Deal
4250000, 1717 15th St NW Washington DC 20009 ,10,8,6800,42.5,6.8,4246798.706,-3201.293945,Bad Deal
400000, 490 M St SW APT W802 Washington DC 20024 ,1,1,1000,4,1,393576.5743,-6423.425674,Bad Deal
124900, 3425 5th St SE APT 44 Washington DC 20032 ,1,1,698,1.249,0.698,115885.21,-9014.789963,Bad Deal
395000, 1669 Columbia Rd NW #410 Washington DC 20009 ,2,2,1120,3.95,1.12,385765.7433,-9234.256744,Bad Deal
243000, 4915 Nannie Helen Burroughs Ave NE APT 201 Washington DC 20019 ,2,2,952,2.43,0.952,231288.4331,-11711.56693,Bad Deal
659000, 3601 Connecticut Ave NW APT 708 Washington DC 20008 ,2,2,1400,6.59,1.4,643227.911,-15772.089,Bad Deal
650000, 1419 Shepherd St NW #1 Washington DC 20011 ,2,3,1156,6.5,1.156,627146.6732,-22853.3268,Bad Deal
849900, 2624 11th St NW Washington DC 20001 ,3,4,1500,8.499,1.5,825305.5573,-24594.44275,Bad Deal
669000, 5810 8th St NW Washington DC 20011 ,4,3,1880,6.69,1.88,640009.5463,-28990.45372,Bad Deal
1995500, 320 13th St NE Washington DC 20002 ,5,5,3222,19.955,3.222,1964116.096,-31383.9035,Bad Deal
849900, 4204 14th St NW #1 Washington DC 20011 ,3,3,1714,8.499,1.714,813801.5747,-36098.42529,Bad Deal
800000, 4023 Illinois Ave NW Washington DC 20011 ,3,3,1658,8,1.658,762309.2175,-37690.78255,Bad Deal
775000, 2370 Champlain St NW #31 Washington DC 20009 ,2,2,1500,7.75,1.5,735178.709,-39821.29097,Bad Deal
799000, 1512 D St NE Washington DC 20002 ,3,2,1877,7.99,1.877,755402.8988,-43597.10121,Bad Deal
769900, 1356 Newton St NW #1 Washington DC 20010 ,3,3,1618,7.699,1.618,725528.9555,-44371.04454,Bad Deal
1295000, 5108 33rd St NW Washington DC 20008 ,4,3,2544,12.95,2.544,1250562.859,-44437.14142,Bad Deal
299000, 225 Emerson St NW #C-201 Washington DC 20011 ,2,1,1189,2.99,1.189,240933.1799,-58066.82014,Bad Deal
319000, 2800 Wisconsin Ave NW APT 503 Washington DC 20007 ,1,1,849,3.19,0.849,254730.8445,-64269.1555,Bad Deal
429000, 2640 Stanton Rd SE Washington DC 20020 ,3,3,1223,4.29,1.223,362323.2365,-66676.76353,Bad Deal
629000, 1080 Wisconsin Ave NW APT 407 Washington DC 20007 ,1,2,957,6.29,0.957,562316.37,-66683.62999,Bad Deal
460000, 729 Sheridan St NW Washington DC 20011 ,3,2,1481,4.6,1.481,391277.5993,-68722.40067,Bad Deal
569000, 2004 11th St NW APT 133 Washington DC 20001 ,1,2,888,5.69,0.888,498870.3251,-70129.67491,Bad Deal
689000, 1606 5th St NW #1 Washington DC 20001 ,2,3,1141,6.89,1.141,613354.063,-75645.93697,Bad Deal
1775000, 1732 18th St NW Washington DC 20009 ,4,3,3030,17.75,3.03,1697443.581,-77556.41937,Bad Deal
2195000, 1008 22nd St NW Washington DC 20037 ,3,4,2905,21.95,2.905,2117214.394,-77785.60638,Bad Deal
335000, 4000 Cathedral Ave NW #706B Washington DC 20016 ,2,1,1200,3.35,1.2,251047.7543,-83952.24571,Bad Deal
245000, 2117 Fort Davis St SE UNIT B Washington DC 20020 ,3,2,1225,2.45,1.225,155883.6937,-89116.3063,Bad Deal
598000, 1711 M St NE #B Washington DC 20002 ,3,3,1375,5.98,1.375,502088.4037,-95911.5963,Bad Deal
214000, 215 Emerson St NW #202 Washington DC 20011 ,1,1,700,2.14,0.7,117724.1802,-96275.81978,Bad Deal
795000, 61 N St NW #1 Washington DC 20001 ,3,3,1583,7.95,1.583,693346.0712,-101653.9288,Bad Deal
749000, 1013 V St NW #2 Washington DC 20001 ,2,3,1174,7.49,1.174,643697.7863,-105302.2137,Bad Deal
229900, 5208 F St SE APT 1 Washington DC 20019 ,2,2,833,2.299,0.833,121866.9415,-108033.0585,Bad Deal
799000, 1454 Belmont St NW APT 16 Washington DC 20009 ,1,2,1096,7.99,1.096,690127.9926,-108872.0074,Bad Deal
405000, 1121 Varney St SE Washington DC 20032 ,3,2,1376,4.05,1.376,294729.4235,-110270.5765,Bad Deal
690000, 502 Oglethorpe St NW Washington DC 20011 ,4,3,1810,6.9,1.81,575643.7778,-114356.2222,Bad Deal
745000, 2700 Virginia Ave NW #1010 Washington DC 20037 ,2,2,1375,7.45,1.375,620240.1638,-124759.8362,Bad Deal
352500, 1717 28th Pl SE #B Washington DC 20020 ,3,2,1300,3.525,1.3,224846.7445,-127653.2555,Bad Deal
352500, 1719 28th Pl SE #B Washington DC 20020 ,3,2,1300,3.525,1.3,224846.7445,-127653.2555,Bad Deal
450000, 326 Raleigh St SE Washington DC 20032 ,4,3,1530,4.5,1.53,318181.6578,-131818.3422,Bad Deal
609900, 312 Gallatin St NW Washington DC 20011 ,3,2,1575,6.099,1.575,477711.4391,-132188.5609,Bad Deal
769000, 251 G St SW #113 Washington DC 20024 ,3,3,1513,7.69,1.513,628980.5889,-140019.4111,Bad Deal
95009, 3701 13th St NW APT 1 Washington DC 20010 ,1,1,518,0.95009,0.518,-49626.23119,-144635.2312,Bad Deal
290000, 317 Atlantic St SE Washington DC 20032 ,2,1,1080,2.9,1.08,140706.8729,-149293.1271,Bad Deal
221999, 1301 Delaware Ave SW APT N823 Washington DC 20024 ,1,1,650,2.21999,0.65,71748.7812,-150250.2188,Bad Deal
1100000, 2503 Chain Bridge Rd NW Washington DC 20016 ,3,3,1860,11,1.86,948049.736,-151950.264,Bad Deal
124900, 2100 Fendall St SE UNIT 1 Washington DC 20020 ,2,1,895,1.249,0.895,-29402.20833,-154302.2083,Bad Deal
559500, 1718 29th St SE Washington DC 20020 ,3,2,1489,5.595,1.489,398633.7185,-160866.2815,Bad Deal
167000, 5014 H St SE APT 101 Washington DC 20019 ,1,1,575,1.67,0.575,2785.730362,-164214.2696,Bad Deal
1350000, 637 C St NE Washington DC 20002 ,3,4,1890,13.5,1.89,1183913.612,-166086.3876,Bad Deal
850000, 1111 Oates St NE Washington DC 20002 ,4,4,1700,8.5,1.7,682776.6895,-167223.3105,Bad Deal
379900, 5011 Benning Rd SE Washington DC 20019 ,3,2,1280,3.799,1.28,206456.5659,-173443.4341,Bad Deal
299500, 1219 Holbrook Ter NE APT 3 Washington DC 20002 ,1,1,708,2.995,0.708,125080.2517,-174419.7483,Bad Deal
805000, 1124 Geranium St NW Washington DC 20012 ,4,3,1865,8.05,1.865,626216.9361,-178783.0639,Bad Deal
320000, 1311 Delaware Ave SW APT S737 Washington DC 20024 ,2,2,850,3.2,0.85,137498.5695,-182501.4305,Bad Deal
344000, 3900 Tunlaw Rd NW APT 304 Washington DC 20007 ,2,1,1100,3.44,1.1,159096.9563,-184903.0437,Bad Deal
1895000, 524 8th St NE Washington DC 20002 ,5,5,2945,18.95,2.945,1709412.193,-185587.8067,Bad Deal
369900, 46 58th St SE Washington DC 20019 ,2,2,900,3.699,0.9,183473.9685,-186426.0315,Bad Deal
899000, 2420 Chain Bridge Rd NW Washington DC 20016 ,2,2,1472,8.99,1.472,709432.5542,-189567.4458,Bad Deal
349900, 700 7th St SW APT 422 Washington DC 20024 ,1,1,744,3.499,0.744,158182.5733,-191717.4267,Bad Deal
429500, 4025 Martin Luther King Jr Ave SW Washington DC 20032 ,3,2,1312,4.295,1.312,235880.8517,-193619.1483,Bad Deal
400000, 6425 14th St NW UNIT 305 Washington DC 20012 ,2,2,924,4,0.924,205542.1829,-194457.8171,Bad Deal
449500, 2249 14th St SE Washington DC 20020 ,3,1,1558,4.495,1.558,253801.2028,-195698.7972,Bad Deal
600000, 1523 Park Rd NW APT 102 Washington DC 20010 ,3,3,1261,6,1.261,397264.5283,-202735.4717,Bad Deal
889000, 1652 Beekman Pl NW APT C Washington DC 20009 ,2,3,1210,8.89,1.21,676800.108,-212199.892,Bad Deal
